time,S,I,R
18.7,0.0012754525687460072,0.33045488544206403,0.6682696619891909
18.75,0.0012458822766215222,0.3281323208650636,0.6706217968583158
18.8,0.0012171982341397142,0.3258254041830797,0.6729573975827816
18.85,0.0011893693634387034,0.32353405498783244,0.6752765756487298
18.900000000000002,0.0011623658149628596,0.32125819221945484,0.6775794419655833
18.95,0.0011361589140132568,0.31899773422438776,0.6798661068616
19,0.0011107211098169002,0.3167525988103529,0.6821366800798312
19.05,0.0010860259269878663,0.3145227032985528,0.6843912707744604
19.1,0.0010620479192601777,0.3123079645732339,0.686629987507507
19.150000000000002,0.0010387626253786988,0.3101082991287474,0.688852938245875
19.200000000000003,0.001016146527040305,0.307923623114232,0.6910602303587288
19.25,9.94177008783306e-4,0.305753852376038,0.6932519706151796
19.3,9.72832319728454e-4,0.3035989024980034,0.6954282651822691
19.35,9.520915370799862e-4,0.3014586888396907,0.6975892196232303
19.400000000000002,9.319345312998969e-4,0.29933312657268363,0.6997349388960173
19.450000000000003,9.123419328732244e-4,0.29722213071504067,0.7018655273520871
19.5,8.932951005863931e-4,0.2951256161639954,0.7039810887354191
19.55,8.747760912447049e-4,0.29304349772698995,0.7060817261817662
19.6,8.567676307589351e-4,0.29097569015112434,0.7081675422181175
19.650000000000002,8.392530865345578e-4,0.2889221081510972,0.710238638762369
19.700000000000003,8.222164411006022e-4,0.2868826664357129,0.7122951171231873
19.75,8.056422669183532e-4,0.2848572797330246,0.714337078000058
19.8,7.895157023131722e-4,0.2828458628141782,0.7163646214835095
19.85,7.738224284756405e-4,0.28084833051602304,0.7183778470555022
19.900000000000002,7.585486474809259e-4,0.2788645977625455,0.7203768535899745
19.950000000000003,7.436810612779106e-4,0.27689457958518404,0.722361739353539
20,7.292068516020529e-4,0.27493819114207974,0.7243326020063192
20.05,7.15113660768278e-4,0.27299534773631223,0.7262895386029204
20.1,7.01389573302419e-4,0.2710659648331713,0.7282326455935272
20.150000000000002,6.880230983717735e-4,0.2691499580765084,0.7301620188251209
20.200000000000003,6.750031529773541e-4,0.26724724330421307,0.7320777535428106
20.25,6.623190458722566e-4,0.2653577365628562,0.7339799443912726
20.3,6.499604621723447e-4,0.2634813541215379,0.7358686854162908
20.35,6.379174486271431e-4,0.2616180124849811,0.7377440700663928
20.400000000000002,6.261803995203897e-4,0.25976762840590245,0.7396061911945782
20.450000000000003,6.147400431712342e-4,0.2579301188966978,0.741455141060132
20.5,6.035874290084851e-4,0.2561054012404737,0.7432910113305188
